8192 4096
1464 2032 4074
1509 1947 2745
61 89 1857
1386 1876 1926
1336 3599 3695
8 2490 4077
2592 2689 2829
2514 3155 3399
894 2849 3902
1350 2291 3056
706 922 3940
882 2137 2141
545 741 3611
1275 2333 2939
2027 2171 2742
373 3391 3933
1396 1467 2738
74 1710 3231
478 1506 3183
3560 3672 3976
1065 1867 3226
1045 2066 3740
598 757 2857
273 1528 3463
780 3014 4043
888 1643 2328
238 2175 3364
1850 1939 1978
1376 3789 4087
742 900 3112
3224 3363 3878
376 1026 2262
3248 3596 3844
36 3468 3932
581 596 2466
146 2519 4026
1234 3622 3919
1429 1828 2210
1890 1934 3978
2532 3024 3550
758 1032 2368
980 3031 3996
1270 3104 4054
245 1214 3369
1143 1315 3385
128 875 3384
1586 1806 3800
135 851 1202
503 726 3201
1305 1615 4068
1430 1932 3524
689 1310 2053
37 1611 4054
1251 1330 3997
311 1958 3296
2854 3219 3535
151 1931 2540
239 674 3454
485 1550 4039
278 762 3858
1784 2325 2441
876 2045 2825
526 1274 1319
2897 3233 3743
17 3100 3120
152 228 3368
1322 1784 3107
46 2365 3890
848 992 1349
1293 1688 1984
740 2564 4090
2177 2927 3572
1436 2358 2576
472 3014 3763
1427 1578 2713
3293 3532 3703
360 2380 3913
1058 1952 2253
75 2492 3049
528 2862 4092
2079 2200 2250
2603 2885 3097
114 2337 2951
3125 3642 3803
417 3155 3984
41 2052 3035
771 2998 3750
145 1729 3649
374 446 4040
283 798 1729
757 2844 2974
1419 1504 1646
68 3000 3521
935 2017 2111
472 2716 3428
1805 3237 3276
1824 2333 3839
686 1810 3713
104 1048 2551
344 839 2085
2147 3944 3983
171 2279 2439
1361 1529 4001
580 1112 1459
1975 2329 2472
338 776 3730
2979 3582 3990
1103 2090 2472
969 2610 3092
1505 3300 3515
153 383 2756
255 3738 3939
2089 2493 3007
323 2083 2917
177 689 3198
1601 1715 2027
1010 2163 3207
1126 2843 3675
931 2117 2243
933 3295 3821
1470 2397 2950
120 3394 3600
1360 2419 3045
911 1115 2252
1871 2917 3466
1741 2821 3161
505 2762 2889
484 760 1870
404 1387 3594
124 1991 2248
1257 2138 2140
1193 3379 3968
1399 2580 2701
266 698 1502
2695 3383 3528
394 2189 3894
952 2685 3128
1452 2298 3046
1546 3540 3725
609 2032 3867
631 2117 3170
310 1816 4006
2455 3286 3873
1661 3416 4048
562 2559 2685
1438 2319 3419
2409 2660 3934
1647 3408 4038
290 686 1838
1426 1675 3293
1074 2124 3296
1536 1601 2113
2037 2285 3717
130 2136 3945
40 1328 1651
1352 2399 2862
149 2458 3765
1225 2411 3497
573 1125 2170
228 728 2684
528 1910 2016
1982 2369 2564
146 2120 3679
277 2992 3640
1648 3142 3710
321 1435 3916
834 1927 2270
668 1171 2865
984 2211 3443
2475 3023 3473
1194 3563 3948
1113 2201 3718
2059 3092 3482
318 1873 3876
863 1376 2697
714 1789 3675
1029 1616 2714
434 2064 3893
673 835 2868
1053 2068 3833
1797 2522 2794
975 2895 3532
665 1540 2949
1820 2389 3529
2062 3479 3631
1670 2451 3814
291 1708 2671
1866 2524 3500
1058 2112 2345
2707 3503 3868
2118 2556 3023
203 2073 3617
997 1006 3953
180 1464 1999
312 2442 3077
127 2017 2308
890 1988 2399
728 972 2947
1050 2140 2818
1502 2287 3479
745 1572 1628
2052 3162 3909
355 2931 3949
2011 2210 3484
289 2258 2927
535 942 2835
1685 3806 4019
1912 2720 2877
114 2337 2437
226 705 2211
496 1969 3480
570 754 1912
617 1071 3331
2209 3336 4081
1282 1453 1821
396 646 3935
2497 3690 3726
79 2828 3544
3015 3571 3797
218 2002 2870
751 2568 3698
1125 2534 2907
1096 2462 3052
287 544 781
568 2902 3574
591 1681 1839
1862 2251 3904
1092 1099 3788
1573 1874 1977
543 2321 3965
612 1301 1782
383 1222 4056
1479 1892 2767
642 2556 2713
1351 1701 1728
1685 3212 3863
224 1165 3815
334 644 2088
2014 2438 3815
41 937 1596
161 1551 2747
2817 3977 4079
566 641 4084
1445 1778 3105
738 2595 3150
771 2147 4021
322 923 1177
425 1355 1614
943 2067 3998
1455 1554 3674
734 1391 3741
917 3627 3727
1840 2741 3648
1255 2905 3757
2221 2760 2934
133 411 2236
1641 2034 4015
2672 2752 3872
2072 3296 3934
816 1761 2073
1531 2973 3492
1694 1914 3435
2737 3191 3673
1520 1803 2311
553 1278 2026
285 2263 3209
2187 2477 4083
98 1252 3562
795 927 1901
168 1398 1402
413 1027 4084
1157 1875 2549
48 499 1657
506 2056 4051
1083 1513 1565
1327 3457 3697
791 2286 3990
381 1584 3754
3694 3879 3971
386 549 2443
1490 2478 3125
857 1856 2702
1171 3543 3575
535 2135 2926
100 115 696
685 1131 2352
2050 3414 3912
1041 1614 3616
182 1922 3559
1398 2910 3098
2407 2947 3417
88 223 3146
375 401 2457
2349 3419 3940
171 1511 2079
1806 2213 2744
953 1390 2371
794 1589 3532
344 640 4095
1025 1932 1987
669 2121 3638
517 1557 3680
408 3159 3226
2676 3332 3941
406 1912 2169
1173 2030 2565
1624 2063 3729
675 2599 3379
1652 2033 3727
995 1439 3493
1472 1663 1921
2058 2500 2584
589 1245 2275
1384 2309 3336
60 1091 1312
1983 3395 4007
737 3489 3539
1308 1759 1782
3 3483 4001
1896 3290 4083
1054 1230 1968
1551 3381 3763
1946 3174 3540
1069 1449 3172
741 1658 4052
1623 2285 3664
285 2034 2431
1000 1404 3918
1003 3545 3733
1087 2430 3494
287 1647 2372
434 2478 3618
968 1790 3329
540 1871 3369
1179 1756 2520
1266 2078 3490
366 1219 3283
219 792 1365
336 947 2271
1409 2203 3785
1402 3050 3252
1470 2433 3173
1537 1864 3112
75 1112 2534
170 885 2011
371 822 1012
729 1622 3349
1121 1738 1978
2955 3073 3301
581 1159 1960
1842 2260 4044
338 961 2353
427 659 2609
1902 2116 2691
200 1329 2447
842 1446 3590
1242 3582 3780
518 1813 4025
1318 2106 3485
1564 3613 3640
519 2753 3551
2041 2586 2755
869 1366 1929
1608 2558 3014
1043 1804 3011
1170 1955 3854
87 1208 3003
1403 1940 1994
577 1147 1338
2026 2244 3507
722 3312 3657
1377 2474 4080
843 2237 2979
1609 1746 3469
1672 3325 3827
2065 3502 3643
2448 2516 3907
1754 3915 4045
5 839 3638
260 1148 3299
1103 1204 1977
1181 2957 4032
1228 1697 1856
889 3019 4086
866 885 4089
1336 2126 2588
791 985 2467
902 1176 1345
1258 1496 3615
891 2352 3022
1970 2023 3037
1296 1931 3055
131 991 3164
2480 2993 3370
399 2276 3821
107 784 2196
1416 1728 2199
797 2540 3690
1017 1275 3277
6 514 2293
717 1375 2426
1024 1309 1324
517 1881 2774
897 1728 2727
683 2018 2911
1217 2275 3573
2021 2997 3981
820 1736 3668
773 1436 1598
1262 2386 3760
1553 3753 4080
1498 3456 3512
218 1180 2766
1520 1999 3647
861 2960 3813
203 607 1393
1027 2600 3919
124 223 2271
576 2039 2654
510 2444 2970
274 1203 2079
255 1656 2631
700 1023 3273
159 3164 3564
1827 2507 3510
444 799 3665
2706 3561 3677
780 1832 2372
3287 3377 3667
484 2447 3958
2403 3579 3713
80 2511 2686
461 586 2227
940 1265 2789
16 971 2729
301 641 3183
195 285 2010
426 3211 3704
85 364 1855
604 2422 4002
640 2361 3274
2332 2608 3212
632 1368 2159
1973 2295 2727
579 1974 3283
2520 3538 3799
115 183 3669
462 2799 3694
917 1441 3449
787 1268 3511
1472 3124 3236
1467 2336 3370
364 2002 2069
2888 2928 3884
154 849 3547
173 3188 3193
90 666 3507
343 1263 3086
1107 1263 2665
212 952 3123
800 2068 2637
1587 2047 4025
276 916 3743
3480 3593 3851
352 1512 1996
224 287 833
848 2616 2703
1191 2165 3067
296 1662 1996
118 317 3970
788 2054 3819
915 1475 2235
949 3809 3873
487 1271 1840
2465 2506 2720
347 3578 3585
1170 1670 2855
639 3787 3875
94 172 3331
386 545 2381
159 305 3383
575 1541 3995
96 483 1761
1407 2074 2696
3461 3842 4023
1268 1879 3961
152 1665 3501
830 1430 3253
1364 1564 3520
965 2861 3344
1224 2266 2489
2951 2998 3598
432 707 1424
2732 3230 3626
2594 3279 4021
613 2605 3379
191 1371 3053
560 3547 3947
1876 2554 3997
300 410 3026
2003 2576 3690
886 2735 3581
221 349 1914
1500 3151 3415
1503 2145 3187
1619 3039 3672
1398 2457 2881
578 1595 3992
1086 1161 3496
910 1756 4007
1414 2752 4003
879 2260 2283
584 1451 1537
1700 3100 3863
1662 2157 2878
734 1152 2647
1860 2387 2698
287 883 3134
1047 1560 4072
344 2488 3577
214 1111 2114
439 1004 2272
580 1304 3816
421 2046 3333
1002 1325 1574
345 886 2064
1914 2141 2937
1263 2946 3924
1625 3564 3984
913 2335 3910
533 2844 3183
422 2118 3961
1011 2623 3204
1514 1715 3413
201 1692 1867
2689 2927 2988
1223 2134 2416
886 2181 2631
1075 2025 2610
496 1767 2599
106 561 2551
57 1654 3991
1357 2022 2726
922 2802 3301
474 1029 2984
2042 2061 2714
676 2088 4079
919 2614 2886
803 928 2922
325 1082 2746
151 810 3944
565 1595 3973
109 2577 4031
105 361 1057
57 2948 3905
599 3217 3743
1702 3354 3627
1067 3272 3860
607 733 838
13 2579 3562
1099 1606 2526
292 3363 3790
648 1139 4004
2259 2394 2583
893 1299 2241
337 1069 2234
2322 3567 4082
518 1793 2288
980 2743 2914
1363 3119 3169
572 955 3510
312 749 1853
1877 3096 3808
340 571 4057
1068 3741 3871
1685 2306 2777
1243 3731 3926
892 2252 2980
660 1703 3853
264 282 2152
1823 2767 3634
702 2913 3439
536 1173 3598
1058 1143 2658
622 1143 2909
2257 3407 3991
1280 1439 4072
22 1021 2932
332 559 3896
1169 2436 3686
1814 1959 2881
262 708 3161
1532 2139 2215
1630 3461 3766
3538 3827 4006
41 3438 4077
84 1361 1448
1950 2443 2866
775 1574 3987
456 728 3457
2506 2654 3287
64 1981 2015
557 716 2242
873 1231 1948
427 1347 3841
2333 2931 3814
348 1355 3779
1093 1103 2675
1227 2886 3245
69 605 3415
1941 3605 3786
6 1221 1907
635 1733 3609
1530 2377 2547
1681 1847 2262
576 918 1151
269 1413 1649
86 2987 3001
3319 3878 3954
1110 1282 2830
296 1798 3285
642 2375 3533
2100 3308 3682
585 619 3770
99 1867 3345
1527 3729 3967
530 3153 3395
164 1387 3017
81 108 1112
703 1723 1791
98 1128 2839
930 1491 1674
1594 1754 1954
1457 3346 3918
2053 2474 2543
126 2712 3462
848 1294 2571
192 620 2062
118 3365 3371
1123 3162 3387
657 719 2817
380 1383 3126
954 1390 3111
1271 2074 2195
114 1683 1695
1883 2074 3368
1045 3048 3649
2933 3119 3755
331 712 2967
181 805 2512
414 1629 3623
582 1044 2121
14 125 921
799 2192 2684
567 2453 3680
1299 1912 3970
1485 3780 4037
1171 1995 3554
876 3526 3907
320 1364 1746
2604 2661 3552
1043 1467 2772
2936 3216 3385
715 1086 1450
696 3587 3961
2711 2884 3713
10 56 1109
1055 1691 3893
24 974 2958
1070 1281 2694
79 1496 2826
405 1308 2842
19 980 3209
1841 2402 3861
905 2810 3208
850 1123 1510
2919 3265 4070
421 824 1724
95 1205 1951
1012 1230 1929
184 1042 2507
2028 2157 2768
84 1030 1869
2323 2827 3709
360 549 1411
2280 2722 3734
1229 1731 2852
259 426 2362
58 552 2095
161 2166 3058
1993 2153 4049
768 2444 3864
2345 2844 3113
611 1597 3917
472 1621 1667
1341 1440 1737
2237 2903 3940
106 1038 3213
1321 1818 3050
1353 1939 1958
1346 1589 3189
832 1526 3579
1624 2641 3122
1174 3028 3445
1235 3266 3726
446 2137 3043
38 1332 3446
371 828 1812
384 1909 3225
85 2119 2549
487 2368 2845
762 1070 2505
1593 2341 4088
201 335 3931
2240 2386 3771
1198 1609 3019
2284 2693 2901
775 1904 3459
138 2447 2754
252 889 1806
2249 3246 4025
1684 3607 3695
379 1043 3797
1711 2892 3294
1046 2029 3335
1688 2211 2340
989 1060 1950
1072 1597 3175
37 3778 3846
334 1676 3531
1966 2308 3006
1375 3249 3866
948 3179 3890
251 712 3831
2569 3444 4057
545 2380 3039
983 3225 3950
2543 3153 3519
27 144 1185
1158 1773 2901
1878 2500 4022
110 302 3311
1431 2546 4046
1951 2304 3047
1510 2704 3694
1811 2758 3533
2954 3886 4001
785 1572 1597
1607 1742 1894
1832 3639 4068
2164 2922 3740
2049 2191 3078
1317 2634 3090
1046 2157 3542
3105 3513 3726
294 1112 1613
269 3643 3773
1106 1662 3885
400 616 4018
2617 2795 3780
141 1300 1884
1516 2537 2820
1042 1681 3966
453 473 1619
438 1016 3977
1111 3589 4066
1006 3227 3412
2 2332 3602
475 2105 3170
757 1371 1600
1440 1970 2890
1908 2683 3718
2673 3104 3995
501 808 2564
1079 1290 3735
1255 1775 3575
807 903 1702
540 1676 3552
1804 1919 3028
270 1056 3707
403 1597 3877
315 2710 3699
1338 3140 3699
1008 1314 2333
2049 2976 3824
843 1904 2471
2244 2571 3953
387 1645 2158
1718 1914 3263
959 1745 3378
2077 2570 3327
755 2665 3229
1660 1712 1810
1735 1993 2953
1015 1634 2494
2835 2885 3080
922 1473 2348
585 724 2132
1605 3406 3795
1994 2904 3577
1219 2539 3637
218 772 3099
1533 1859 3222
1408 2340 3269
749 1331 2303
527 1476 2945
2961 3194 3523
191 2201 3046
1094 2912 3083
926 1336 2168
227 1808 2604
1100 1916 3124
217 904 3687
1778 2613 3543
1443 2152 2590
280 2186 3933
1986 2153 2574
329 1068 3239
1488 2046 2467
320 2505 3464
1300 1644 2093
281 1000 1856
164 984 1114
1814 1906 4087
377 444 559
1619 2217 4054
3611 4021 4026
808 3534 3688
504 1306 3167
937 1654 2233
2162 3158 3555
707 1463 3218
233 2875 3636
612 2594 2911
185 609 3835
86 876 3357
325 821 2235
1613 2544 3560
1494 1857 2389
1309 3700 3902
707 1572 1636
1005 1776 1872
1753 1886 2905
2287 2940 3187
2035 3411 3788
806 1597 2674
80 703 865
467 1035 3459
1097 1115 1698
2690 2798 2882
613 2561 2661
1226 1585 2591
709 816 1512
1904 3029 3334
548 869 2910
256 367 1418
136 520 1450
1540 2241 3759
2191 3358 4018
181 1327 2151
1289 1370 2314
199 817 2158
1128 2801 4035
1777 1788 3204
67 2481 2552
2397 2978 3133
143 379 1834
460 1277 1607
839 1658 1744
453 3540 4051
1129 1918 2487
317 3606 3836
343 1357 1763
950 2105 2293
947 1267 2232
540 1205 3656
2133 2448 3224
860 1304 4016
162 972 3894
811 2012 4044
1958 3290 3614
988 2060 3117
332 923 1137
1546 1549 4018
149 1661 2923
873 1556 2842
831 1097 2167
1005 2574 3345
1856 3738 3786
125 405 3686
416 970 2326
1976 2224 2253
537 3633 3678
878 2050 3206
472 999 2085
1230 3205 3873
142 2223 2656
1039 1244 1655
1184 1384 1612
1245 1870 3686
1783 1875 2763
691 2033 2601
668 900 3061
108 2944 3306
3 1113 1345
52 2502 3590
1608 2015 2505
296 601 641
275 1316 2531
868 1372 1714
41 963 4091
1199 3097 3827
404 1152 2506
534 1925 3808
164 501 967
364 666 2827
1233 2204 3774
40 2369 2772
316 784 2382
1454 1489 2006
247 613 2742
80 868 1687
442 632 1865
1441 2269 2407
400 982 2138
2186 2961 3979
1379 2348 2925
1460 1507 3536
1009 1967 2199
174 1063 3780
58 437 3653
1398 2591 3251
238 1103 4034
475 901 1111
313 1984 2434
1538 2520 3182
2695 3563 4043
1480 1863 3764
3920 4027 4070
1096 3070 3392
1901 2307 3566
2086 2858 3574
1457 2688 2842
1456 2160 4050
2177 2778 2966
1071 3560 3759
966 1834 3131
589 1501 3684
2105 2781 3104
455 509 1066
845 1770 2355
735 899 2821
1348 3151 3249
455 1044 3507
2386 2763 4087
593 1235 1539
83 237 2578
218 1492 2963
790 1083 2800
250 1117 3114
493 3176 3433
745 1224 1888
2437 2451 3895
522 1598 2216
507 1070 3419
2080 2460 2986
1410 1806 2826
891 2646 3585
1885 2801 2858
674 1421 2872
123 638 3406
1388 3510 3531
1022 2375 2464
2106 2622 2909
859 2969 3293
870 1435 1926
2112 3238 4092
893 1818 2917
376 1609 3827
2427 3485 3742
1124 1833 3567
1210 1573 3487
238 2046 2237
1661 2476 2601
1964 2554 3641
704 2685 3519
324 994 2060
373 1005 1602
659 1422 2520
246 2678 3275
471 725 2057
448 1341 3083
209 699 1916
684 1462 3746
2555 3586 3910
2265 2915 3933
908 2715 3610
68 941 2594
375 1471 1487
712 1561 3813
845 896 1031
257 2171 4050
864 1040 1641
1906 2131 3241
3110 3310 3412
91 1210 3522
1319 2310 2903
205 253 759
230 1489 3315
1900 2259 2452
313 2580 3337
264 1581 3330
1164 1214 1858
1021 2134 2349
458 1718 3962
30 138 2374
1601 3578 3839
365 3250 3653
1289 2151 3157
1316 2430 2842
414 981 3080
375 1257 1523
147 298 726
532 2511 2599
465 1849 3319
1314 3021 3548
255 321 3707
1501 1850 2382
1230 1823 2640
1772 2850 3848
1729 2204 3646
1973 2087 3895
1623 1938 3790
580 3231 3857
538 1309 2655
937 2115 3832
2950 3106 4045
494 1626 2281
324 858 3920
535 872 2698
338 2931 3655
691 765 806
143 2303 2453
1906 2596 2925
178 934 4035
37 1672 3370
2717 3723 4028
252 909 3696
1635 2218 3133
1318 3197 3518
3540 3642 3926
594 1119 1283
601 736 3769
202 373 387
1964 2682 2785
886 3385 3664
990 2983 3520
683 1222 2397
1181 2494 2647
676 2220 3294
334 1509 2490
651 2782 3846
768 2096 3791
809 3749 3752
2111 2121 3768
4 522 1416
650 1961 2289
1615 2893 4076
724 2041 2923
978 1570 2110
2055 2464 2709
774 2631 3914
443 600 3397
1332 2451 3528
455 2173 3883
942 1723 3111
2783 3340 4012
1193 2263 3997
1704 2870 3611
139 153 2229
474 2334 3091
69 509 3996
3079 3248 3254
590 851 3231
2751 3501 3872
834 3841 3957
456 551 1385
703 3262 3555
1293 1615 2229
2363 2602 2683
2112 2961 4088
1532 2373 3108
944 2238 2789
788 1934 2383
1569 1674 3628
2307 2989 3415
124 1326 1821
49 1142 3988
2388 2923 3290
1567 3159 3913
51 439 897
1663 2128 4036
1294 2631 3519
222 1213 2240
21 730 3048
213 1766 2061
1058 1124 1501
450 1725 1789
402 2476 2906
2497 2791 3295
1131 3272 3631
1368 1972 3224
1267 1930 2518
909 1618 3060
480 1784 3420
166 986 3440
170 752 1558
297 2172 3771
588 1362 2799
246 1460 2874
542 2019 2626
742 2159 3432
454 849 1661
253 1593 1946
2296 3206 3949
407 1454 2075
366 1218 1915
1031 2094 2850
1848 2329 3703
1442 3118 4082
